ticker,company_name,reporting_year,available_date,scope1_tco2e,scope2_location_tco2e,revenue_usd_mn,carbon_intensity_tco2e_per_usd_mn,carbon_period_end,revenue_period_end,period_end_gap_days,carbon_source,carbon_source_url,revenue_source,revenue_source_url,sec_revenue_tag,data_note
AAPL,Apple Inc.,2019,2020-08-27,50549.0,862127.0,260174.0,3.5079446831735686,2019-09-28,2019-09-28,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11671,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
AAPL,Apple Inc.,2020,2021-07-28,47430.0,890200.0,274515.0,3.4155874906653554,2020-09-26,2020-09-26,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11671,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
AAPL,Apple Inc.,2021,2022-08-01,55200.0,1003246.0,365817.0,2.8933756495734206,2021-09-25,2021-09-25,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11671,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
AAPL,Apple Inc.,2022,2023-07-27,55200.0,1065405.0,394328.0,2.8418093566776896,2022-09-25,2022-09-24,1,Climate Data Utility / CDP,https://climatedatautility.org/companies/11671,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2018,2019-07-30,90723.0,3000523.0,110360.0,28.01056542225444,2018-06-30,2018-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2019,2020-08-20,113412.0,3556553.0,125843.0,29.163044428375038,2019-06-30,2019-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2020,2021-07-26,118100.0,4102445.0,143015.0,29.51120511834423,2020-06-30,2020-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2021,2022-07-23,123704.0,4745197.0,168088.0,28.966380705344818,2021-06-30,2021-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
MSFT,MICROSOFT CORPORATION,2022,2023-08-16,139413.0,6381250.0,198270.0,32.88779442174812,2022-06-30,2022-06-30,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/13013,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2018,2019-08-29,6101641.0,13057352.0,510329.0,37.542434390363866,2018-12-31,2019-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2019,2020-09-30,6484616.0,12190878.0,519926.0,35.919523162911645,2019-12-31,2020-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2020,2021-07-29,6728056.0,9891120.0,555233.0,29.93189525838702,2020-12-31,2021-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2021,2022-07-28,7321837.0,9747723.0,567762.0,30.064639761026626,2021-12-31,2022-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
WMT,WALMART INC.,2022,2023-08-04,7880866.0,9981536.0,605881.0,29.48170020185482,2022-12-31,2023-01-31,31,Climate Data Utility / CDP,https://climatedatautility.org/companies/13999,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2018,2019-08-29,63521.0,4344686.0,136819.0,32.21926048282768,2018-12-31,2018-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2019,2020-08-25,66686.0,5116949.0,161857.0,32.02601679260088,2019-12-31,2019-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/,RevenueFromContractWithCustomerExcludingAssessedTax,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2020,2021-07-27,38694.0,5865095.0,182527.0,32.344743517397426,2020-12-31,2020-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
GOOGL,Alphabet Inc.,2021,2022-08-10,45073.0,6576239.0,257637.0,25.700159526776044,2021-12-31,2021-12-31,0,Climate Data Utility / CDP,https://climatedatautility.org/companies/11618,SEC Companyfacts 10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/,Revenues,Scope 1 + location-based Scope 2 divided by annual revenue; availability is the later of CDP reporting date and SEC filing date.
